area_sqft,bedroom_num,bathroom_num,balcony_num,property_type_code,facing_code,age_years,price_per_sqft,total_rooms,room_bath_ratio,price
894.0,2.0,2.0,3.0,0.0,3.0,5.0,0.14541387024608501,4.0,1.0,130.0
1547.97084,5.0,4.0,3.0,1.0,2.0,7.5,0.20026217031323407,9.0,1.25,310.0
1640.00304,3.0,2.0,3.0,0.0,2.0,5.0,0.08231692058326916,5.0,1.5,135.0
625.49604,2.0,2.0,1.0,0.0,3.0,1.0,0.07194290150901675,4.0,1.0,45.0
1257.01992,2.0,2.0,2.0,0.0,3.0,7.5,0.05966492559640583,4.0,1.0,75.0
2243.97108,3.0,4.0,3.0,0.0,2.0,3.0,0.08511696148953934,7.0,0.75,191.0
810.0,2.0,2.0,2.0,0.0,8.0,3.0,0.08790123456790123,4.0,1.0,71.2
2176.05024,3.0,3.0,3.0,0.0,3.0,15.0,0.05055030347093457,6.0,1.0,110.0
1305.0,3.0,4.0,3.0,0.0,3.0,3.0,0.09578544061302682,7.0,0.75,125.0
2800.0,3.0,3.0,3.0,0.0,2.0,3.0,0.17857142857142858,6.0,1.0,500.0
2200.0,3.0,3.0,3.0,0.0,5.0,15.0,0.07954545454545454,6.0,1.0,175.0
1322.0,3.0,4.0,3.0,0.0,2.0,3.0,0.2118003025718608,7.0,0.75,280.0
1423.9695599999998,2.0,2.0,2.0,0.0,2.0,1.0,0.09831670839930035,4.0,1.0,140.0
3240.07164,5.0,7.0,3.0,1.0,3.0,7.5,0.3225237328394381,12.0,0.7142857142857143,1045.0
2400.04908,4.0,4.0,3.0,0.0,3.0,7.5,0.10833111796197102,8.0,1.0,260.0
4553.064359999999,4.0,5.0,3.0,0.0,3.0,7.5,0.09334372773944273,9.0,0.8,425.0
1269.0,2.0,2.0,3.0,0.0,3.0,3.0,0.06698187549251379,4.0,1.0,85.0
899.97804,2.0,2.0,1.0,1.0,3.0,3.0,0.04666780536111748,4.0,1.0,42.0
1650.0,3.0,3.0,3.0,0.0,5.0,3.0,0.13393939393939394,6.0,1.0,221.0
591.0512399999999,2.0,2.0,1.0,0.0,1.0,1.0,0.1184330482074617,4.0,1.0,70.0
2844.06408,6.0,6.0,1.0,1.0,2.0,3.0,0.3814963269041392,12.0,1.0,1085.0
2500.0,4.0,4.0,3.0,0.0,2.0,3.0,0.08,8.0,1.0,200.0
3510.03276,9.0,9.0,3.0,1.0,1.0,7.5,0.3988566761980877,18.0,1.0,1400.0
1350.02088,2.0,2.0,2.0,0.0,3.0,3.0,0.11110939261917194,4.0,1.0,150.0
1800.06372,1.0,1.0,2.0,1.0,3.0,5.0,0.09444110122946092,2.0,1.0,170.0
1161.0,3.0,5.0,3.0,0.0,3.0,1.0,0.1507321274763135,8.0,0.6,175.0
1570.0370400000002,3.0,4.0,1.0,0.0,5.0,3.0,0.09872378552291988,7.0,0.75,155.0
1600.0,4.0,4.0,3.0,0.0,3.0,3.0,0.1,8.0,1.0,160.0
623.98908,1.0,1.0,1.0,0.0,3.0,7.5,0.060898501621214275,2.0,1.0,38.0
1350.02088,2.0,2.0,2.0,0.0,3.0,7.5,0.05555469630958597,4.0,1.0,75.0
2215.01592,4.0,4.0,3.0,0.0,3.0,3.0,0.09255012487675485,8.0,1.0,205.0
2429.973,4.0,5.0,3.0,1.0,2.0,1.0,0.2650235208374743,9.0,0.8,644.0
3156.0048,4.0,5.0,3.0,0.0,6.0,3.0,0.09664117114143805,9.0,0.8,305.0
1600.0,3.0,3.0,3.0,0.0,2.0,1.0,0.111875,6.0,1.0,179.0
1100.0,2.0,2.0,1.0,0.0,3.0,5.0,0.06818181818181818,4.0,1.0,75.0
3400.02468,4.0,4.0,3.0,1.0,3.0,7.5,0.07352887803155593,8.0,1.0,250.0
1420.0,3.0,2.0,2.0,0.0,2.0,3.0,0.11619718309859155,5.0,1.5,165.0
1550.0,3.0,3.0,3.0,0.0,3.0,3.0,0.08580645161290322,6.0,1.0,133.0
1180.05732,2.0,2.0,2.0,0.0,3.0,1.0,0.0762674816508066,4.0,1.0,90.0
2086.0632,3.0,3.0,3.0,0.0,3.0,7.5,0.11504924683010562,6.0,1.0,240.0
34401.31344,1.0,1.0,1.0,0.0,1.0,3.0,0.0006104418087590322,2.0,1.0,21.0
2500.0,5.0,3.0,3.0,1.0,3.0,5.0,0.054,8.0,1.6666666666666667,135.0
1022.58,3.0,3.0,3.0,0.0,3.0,3.0,0.15646697568894363,6.0,1.0,160.0
1506.9599999999998,2.0,2.0,3.0,0.0,2.0,3.0,0.08759356585443544,4.0,1.0,132.0
999.0,2.0,2.0,3.0,0.0,2.0,5.0,0.05005005005005005,4.0,1.0,50.0
